"Tier","Talent","Prerequisites","Aptitude 1","Aptitude 2","Benefit"
"T1","Air of Authority","Fel 30","Fellowship","Leadership","Affect more targets with Command."
"T1","Ambidextrous","Ag 30","Weapon Skill","Ballistic Skill","Use either hand equally well—reduce penalties for using two weapons."
"T1","Ambush","Stealth","Agility","Fieldcraft","Inflict additional Damage on Unaware targets."
"T1","Berserk Charge","—","Strength","Offence","Gain an extra bonus to hit when charging."
"T1","Blind Fighting","Per 30","Perception","Fieldcraft","Suffer half usual penalties for obscured vision."
"T1","Brute of Burden","Str 45","Strength","General","Character can carry larger loads and forced march for longer."
"T1","Calculated Barrage","Int 35","Ballistic Skill","Knowledge","Pin targets with Indirect Fire."
"T1","Catfall","Ag 30","Agility","Fieldcraft","Reduce falling damage."
"T1","Cold Hearted","—","Willpower","Defense","Immune to Seduction, resistant to Charm."
"T1","Combat Formation","Int 40","Leadership","Fieldcraft","Use intelligence bonus for Initiative."
"T1","Combat Sense","Per 30","Perception","Fieldcraft","Use Per bonus instead of Ag bonus for Initiative."
"T1","Deadeye Shot","BS 30","Ballistic Skill","Finesse","Reduce penalties for ranged called shots."
"T1","Die Hard","WP 40","Willpower","Defense","Improves chances of surviving Blood Loss."
"T1","Disarm","Ag 30","Weapon Skill","Defense","Force opponent to drop weapon."
"T1","Disturbing Voice","—","Fellowship","Social","+10 to Intimidate, –10 to Charm."
"T1","Double Team","—","General","Offence","Gain additional +10 for outnumbering opponent."
"T1","Drop Trooper","Operate (Aeronautica)","Agility","Tech","Bonus to Operate Test for grav-chutes."
"T1","Duelist","WS 35, Sure Strike","Finesse","Weapon Skill","Bonus to engaging single opponents."
"T1","Ears to the Ground","Commerce, Perception 30","Perception","Social","Character gains a bonus to trade or barter goods and avoid official notice."
"T1","Enemy","—","General","Social","An organization or group particularly despises the character."
"T1","Excellent Cook","Trade (Cook) +10","Fieldcraft","General","Fix a hearty meal to provide squad mates with a bonus to resist Fear and Pinning."
"T1","Ferric Summons","Ferric Lure Implants, Mechanicus Implants","Willpower","Tech","Can summon larger metallic objects."
"T1","Frenzy","—","Strength","Offence","Enter psychotic rage to gain combat bonuses."
"T1","Heightened Senses†","—","Perception","Fieldcraft","Gain +10 bonus to particular sense."
"T1","Heroic Inspiration","Fel 35, Command","Leadership","Social","Use Inspire Special Use of the Command Skill as a Half Action."
"T1","Initiated Maintenance","Common Lore (Adeptus Mechanicus) +10","Ballistic Skill","Tech","Reduces Jams and Overheating."
"T1","Iron Jaw","T 40","Toughness","Defense","Test Toughness to overcome Stunning."
"T1","It Not So Dark","Ogryn, Willpower 40","Willpower","General","Reduced effects from “But It Dark in Dere” Trait."
"T1","Jaded","WP 40","Willpower","Defense","Ignore mundane horrors."
"T1","Lasgun Volley","BS 30, Weapon Training (Las)","Ballistic Skill","General","Inflict extra Damage with Ranged Volley Order when wielding a Las weapon."
"T1","Leap Up","Ag 30","Agility","General","Stand as a Free Action."
"T1","Light Sleeper","Per 30","Perception","Fieldcraft","Count as awake even when sleeping."
"T1","Lightning Reflexes","—","Agility","Fieldcraft","Roll twice and take the highest for Initiative rolls."
"T1","Litany of Condemnation","Willpower 40, Scholastic Lore (Imperial Creed) +10","Willpower","Social","Character may inspire others to resist Fear from Daemons and their ilk."
"T1","Little 'Un","Fellowship 30, Non-Ogryn","Fellowship","General","Character is easily liked and trusted by Ogryns."
"T1","Loyal Demeanour","Ogryn","Fellowship","Leadership","Others take character more seriously."
"T1","Meditation","—","Willpower","Knowledge","Character may enter a trance to ignore Fatigue."
"T1","Mimic","—","Fellowship","Social","Character can copy voices."
"T1","Modify Payload","Tech-Use","Intelligence","Tech","Increase Damage, Blast Quality, and Smoke Quality of explosives."
"T1","Orthoproxy","—","Willpower","Tech","+20 bonus to resist mind control or interrogation."
"T1","Overlooked","Perception 35, Unremarkable","Perception","Defense","Enemies attack other characters first."
"T1","Peer","Fel 30","Fellowship","Social","Character has good reputation amongst chosen group."
"T1","Polyglot","Int 40, Fel 30","Intelligence","Social","Character has innate grasp of languages."
"T1","Potentia Coil Induction","Implanted Potentia or Mechanicus Implants, Toughness 35","Toughness","Tech","Draw on external power sources to reduce Fatigue."
"T1","Psychic Power†","Psyker","Willpower","Psyker","May take one psychic power."
"T1","Pugilist","S 30","Offence","Strength","Feint as a Free Action with Unarmed Standard Attack and Called Shot Actions."
"T1","Push the Limit","Operate (Any One), Technical Knock","Agility","Tech","Bonus to Vehicle Manoeuvre Tests with Structural Integrity loss on a Failed Test."
"T1","Quick Draw","—","Agility","Finesse","Draw weapon as Free Action."
"T1","Rabbit Punch","Agility 35, Weapon Skill 35","Agility","Finesse","Use AB for unarmed Damage."
"T1","Radiant Presence","Fel 40","Fellowship","Leadership","Character has an inspiring aura."
"T1","Rapid Reload","—","Agility","Fieldcraft","Reduce reload time."
"T1","Resistance†","—","Toughness","Defense","Gain +10 bonus to particular resistance Test."
"T1","Sound Constitution","—","Toughness","General","Gain an additional Wound."
"T1","Street Fighting","WS 30","Weapon Skill","Offence","Add half WS to Critical Damage."
"T1","Strength in the Creed","Ministorum Priest or 10+ Insanity Points","Willpower","Offence","Invoke the Imperial Creed for inspiration on an attack."
"T1","Sure Strike","WS 30","Weapon Skill","Finesse","Reduce penalties for melee Called Shots."
"T1","Swift Suture","Medicae","Finesse","Intelligence","End Blood Loss condition when performing First Aid."
"T1","Takedown","—","Weapon Skill","Offence","Make special attack to stun opponent."
"T1","Technical Knock","Int 30","Intelligence","Tech","Un-jam gun as Half Action."
"T1","Total Recall","Int 30","Intelligence","Knowledge","Character can remember trivial facts and minor details."
"T1","Unarmed Warrior","WS 35, Ag 35","Strength","Offence","Improves unarmed attacks."
"T1","Unremarkable","—","General","Social","Character is easily forgettable."
"T1","Unusual Companion","Fel 30","General","Social","Gain a non-standard Comrade."
"T1","Urge the Penitent","Command +10, Scholastic Lore (Imperial Creed)","Fellowship","Social","Benefit when re-rolling Tests with Fate Points."
"T1","Vigilant","Per 35","Offence","Perception","Use Perception instead of Agility for Overwatch."
"T1","Warp Sense","Psy Rating, Psyniscience, Per 30","Perception","Psyker","Allows Psyniscience Test as Free Action."
"T1","Weapon-Tech","Tech Use +10, Int 40","Intelligence","Tech","Increase potency of advanced weaponry."
"T1","Weapon Training†","—","General","Finesse","Use Weapon Group without penalty."
