Homeworlds	Char +	Char +	Char -	Fate Base	Emperor's Blessing	Home World Bonus	Aptitude	Wounds	Page
Feral World	Strength	Toughness	Influence	2	3+	The Old Ways: A Feral World character's Low-Tech weapons lose any present Primitive Qualities and gain the Proven (3) Quality.	Toughness	9+1d5	PG 32 CB
Forge World	Intelligence	Toughness	Fellowship	3	8+	Omnissiah's Chosen: A Forge World character gains the Technical Knock or Weapon-Tech Talent.	Intelligence	8+1d5	PG 34 CB
Highborn	Fellowship	Influence	Toughness	4	10+	Breeding Counts: A Highborn character reduces Influence losses by 1, to a minimum loss of 1.	Fellowship	9+1d5	PG 36 CB
Hive World	Agility	Perception	Willpower	2	6+	Teeming Masses in Metal Mountains: A Hive World character moves through crowds as if they were open terrain and gains a +20 bonus to Navigate (Surface) Tests in closed spaces.	Perception	8+1d5	PG 38 CB
Shrine World	Fellowship	Willpower	Perception	3	6+	Faith in the Creed: When spending a Fate Point, a Shrine World character's number of Fate Points are not reduced on a 1d10 result of 1.	Willpower	8+1d5	PG 40 CB
Voidborn	Intelligence	Willpower	Strength	3	5+	Child of the Dark: A voidborn character starts with the Strong Minded talent, and gains a +30 bonus to tests for moving in zero-gravity	Intelligence	7+1d5	PG 42 CB
Agri-World	Fellowship	Strength	Agility	2	7+	Strength from the Land: An agri-world character starts with the Brutal Charge (2) Trait	Strength	8+1d5	PG 25 EI
Feudal World	Perception	Weapon Skill	Intelligence	3	6+	At Home in Armour: A feudal world character ignores the maximum Agility value imposed by any armour he is wearing	Weapon Skill	9+1d5	PG 27 EI
Frontier World	Ballistic Skill	Perception	Fellowship	3	7+	Rely on None but Yourself: A frontier world character gains a +20 bonus to Tech-Use tests when applying a personal weapon modification, and a +10 bonus when repairing damaged items	Ballistic Skill	7+1d5	PG 29 EI
Death World	Agility	Perception	Fellowship	2	5+	Survivor's Paranoia: While a death world character is Surprised, non-Surprised attackers do not gain the normal +30 bonus to their Weapon and Ballistic Skill tests when targeting this character	Fieldcraft	9+1d5	PG 29 EO
Garden World	Fellowship	Agility	Toughness	2	4+	Serenity of the Green: A garden world character halves the duration (rounding up) of any result from Shock or Mental Traumas, and can remove Insanity Points for 50xp per point, rather than the normal 100xp	Social	7+1d5	PG 31 EO
Research Station	Intelligence	Perception	Fellowship	3	8+	Pursuit of Data: Whenever a research station character reaches Rank 2 (Trained) in a Scholastic Lore skill, he also gains Rank 1 (Known) in one related or identical Forbidden Lore skill specialisation of their choice. The GM is the final arbiter of whether the two specialisations are related.	Knowledge	8+1d5	PG 33 EO
Daemon World	Willpower	Perception	Fellowship	3	4+	Touched by the Warp: A Daemon world native begins with one rank in the Psyniscience skill. Should he gain this skill again in a later step of character creation, he instead gains one additional rank of this skill. This character also begins with 1d10+5 Corruption Points	Willpower	7+1d5	PG 26 EB
Penal Colony	Toughness	Perception	Influence	3	8+	Finger on the Pulse: One survives a penal colony by instinctively knowing who is in charge and who is a threat. A penal colony character begins with one rank in Common Lore (Underworld) and Scrutiny skills, and starts with the Peer (Criminal Cartels) talent.	Toughness	10+1d5	PG 28 EB
Quarantine World	Ballistic Skill	Intelligence	Strength	3	9+	Secretive by Nature: Those who manage to leave a quarantine world learn how to keep secrets. Wheneve the warband's Subtlety would decrease, it decreases by 2 less (to a minimum of 1)	Fieldcraft	8+1d5	PG 30 EB
